code,name,ip_2015_17,ip_2022_24,D1,D2,D3,D4,rule
ESP,Spain,1.0209839,0.9546703000000001,US,US,US,US,이념점수
EST,Estonia,1.0430742000000002,1.1598249999999999,US,US,US,US,이념점수
ETH,Ethiopia,-0.532879,-0.7288921666666667,CN,CN,NON,CN,이념점수
FIN,Finland,0.8427886666666667,1.030934,US,US,US,US,이념점수
FJI,Fiji,-0.488815,0.03918734333333334,CN,NON,NON,CN,이념점수
FRA,France,1.3962666666666665,1.3347893333333334,US,US,US,US,이념점수
FRO,Faroe Islands,1.0437683333333334,1.1067333333333333,US,US,US,US,주권국 DNK
FSM,Micronesia,1.5746683333333333,1.2789106666666668,US,US,US,US,이념점수
GAB,Gabon,-0.3366982,-0.4786861,CN,NON,NON,CN,이념점수
GBR,United Kingdom,1.5754553333333334,1.68348,US,US,US,US,이념점수
GEO,Georgia,0.8225578666666666,0.8357500333333334,US,US,NON,CN,이념점수
GHA,Ghana,-0.38067786666666664,-0.3455285666666667,CN,NON,NON,CN,이념점수
GIN,Guinea,-0.7534336333333332,-0.5110325666666666,NON,NON,NON,CN,이념점수
GMB,Gambia,-0.7466617333333333,-0.3821496,NON,NON,NON,CN,이념점수
GNB,Guinea-Bissau,-0.6183201666666667,-0.5406399000000001,NON,CN,NON,CN,이념점수
GNQ,Equatorial Guinea,-0.6188337333333334,-0.6473246,NON,CN,NON,CN,이념점수
GRC,Greece,0.7606954,0.9077533,US,US,US,US,이념점수
GRD,Grenada,-0.5042007000000001,-0.3655812,CN,NON,NON,CN,이념점수
GRL,Greenland,,,,,NON,,미배정(이념점수 없음)
GTM,Guatemala,-0.06418756666666667,0.07718403,NON,NON,NON,CN,이념점수
GUY,Guyana,-0.5979239000000001,-0.2384904,NON,NON,NON,CN,이념점수
HKG,Hong Kong (China),-0.3538583,-0.9243845,CN,CN,CN,CN,주권국 CHN
HND,Honduras,0.03408782333333333,-0.10655344666666666,NON,NON,NON,CN,이념점수
HRV,Croatia,0.9955380333333332,1.1742566666666667,US,US,US,US,이념점수
HTI,Haiti,-0.24070226666666664,-0.17657630000000002,CN,NON,NON,CN,이념점수
HUN,Hungary,1.07299,1.3016416666666668,US,US,US,US,이념점수
IDN,Indonesia,-0.9563705666666666,-0.6983079666666666,NON,CN,NON,CN,이념점수
IND,India,-0.2562878,-0.23993583666666665,CN,NON,NON,CN,이념점수
IRL,Ireland,0.6743555666666667,0.7448035000000001,US,US,US,US,이념점수
IRN,Iran,-1.5344296666666668,-1.508383,NON,NON,NON,CN,이념점수
IRQ,Iraq,-0.9315631999999999,-0.7410327,NON,CN,NON,CN,이념점수
ISL,Iceland,0.8181250666666666,0.9056871666666666,US,US,US,US,이념점수
ISR,Israel,2.2580686666666665,1.9817003333333334,US,US,NON,CN,이념점수
ITA,Italy,0.9150490333333333,1.0839869999999998,US,US,US,US,이념점수
JAM,Jamaica,-0.4218323666666666,-0.22679423333333334,CN,NON,NON,CN,이념점수
JOR,Jordan,-0.7222160999999999,-0.5835573666666667,NON,CN,NON,CN,이념점수
JPN,Japan,0.6434480666666667,0.7461220333333333,US,US,US,US,이념점수
KAZ,Kazakhstan,-0.4946949666666667,-0.601023,CN,CN,NON,CN,이념점수
KEN,Kenya,-0.6756802000000001,-0.4057748666666667,NON,NON,NON,CN,이념점수
KGZ,Kyrgyzstan,-0.6370627666666667,-0.7006946333333334,NON,CN,NON,CN,이념점수
KHM,Cambodia,-0.9054299,-0.4757989,NON,NON,NON,CN,이념점수
KIR,Kiribati,-0.3689303,0.007869469999999998,CN,NON,NON,CN,이념점수
KNA,Saint Kitts and Nevis,-0.4171106,-0.3784940333333333,CN,NON,NON,CN,이념점수
KOR,Korea,0.8596428333333334,0.8938671333333333,US,US,US,US,이념점수
KWT,Kuwait,-0.8635811666666666,-0.5058511666666666,NON,NON,NON,CN,이념점수
LAO,Lao People’s Democratic Republic,-1.0665528333333334,-0.7340412333333334,NON,CN,NON,CN,이념점수
LBN,Lebanon,-0.9956254333333332,-0.7593979000000001,NON,CN,NON,CN,이념점수
LBR,Liberia,-0.18786434666666665,0.5143068333333334,CN,NON,NON,CN,이념점수
LBY,Libya,-0.7860052999999999,-0.6758154666666667,NON,CN,NON,CN,이념점수
LCA,Saint Lucia,-0.5062045333333333,-0.3590358666666667,CN,NON,NON,CN,이념점수
LKA,Sri Lanka,-0.6409970666666668,-0.7183026666666666,NON,CN,NON,CN,이념점수
LSO,Lesotho,-0.6496042333333333,-0.38693323333333335,NON,NON,NON,CN,이념점수
LTU,Lithuania,1.070343,1.2139493333333333,US,US,US,US,이념점수
LUX,Luxembourg,0.9600291,0.9975856666666667,US,US,US,US,이념점수
LVA,Latvia,1.0495780000000001,1.1191673333333334,US,US,US,US,이념점수
MAC,Macau (China),-0.3538583,-0.9243845,CN,CN,CN,CN,주권국 CHN
MAR,Morocco,-0.5001157333333334,-0.4111008333333333,CN,NON,NON,CN,이념점수
MDA,Moldova,0.7770809000000001,0.7924062,US,US,NON,CN,이념점수
MDG,Madagascar,-0.5291436666666667,-0.48325653333333335,CN,NON,NON,CN,이념점수
MDV,Maldives,-0.5967025666666667,-0.39479569999999997,NON,NON,NON,CN,이념점수
MEX,Mexico,-0.09757144333333334,-0.004062555,NON,NON,NON,CN,이념점수
MHL,Marshall Islands,0.7645679,0.7585156999999999,US,US,NON,CN,이념점수
MKD,North Macedonia,0.7716277333333332,0.9539740999999999,US,US,US,US,이념점수
MLI,Mali,-0.5913490666666666,-0.8946063999999999,NON,CN,NON,CN,이념점수
MLT,Malta,0.5939014666666667,0.7224599,NON,NON,US,US,이념점수
MMR,Myanmar,-0.7511341333333333,-0.14111153333333334,NON,NON,NON,CN,이념점수
MNE,Montenegro,0.9114968666666666,0.9765098999999999,US,US,US,US,이념점수
MNG,Mongolia,-0.5170367333333333,-0.5401722999999999,CN,NON,NON,CN,이념점수
MOZ,Mozambique,-0.7516417333333334,-0.5390653333333334,NON,NON,NON,CN,이념점수
MRT,Mauritania,-0.7602200666666666,-0.6068911,NON,CN,NON,CN,이념점수
